xxyy"Acanthagenys rufogularis"xxyy
xxyy"Acanthiza apicalis"xxyy
xxyy"Acanthiza chrysorrhoa"xxyy
xxyy"Acanthiza ewingii"xxyy
xxyy"Acanthiza inornata"xxyy
xxyy"Acanthiza iredalei"xxyy
xxyy"Acanthiza katherina"xxyy
xxyy"Acanthiza lineata"xxyy
xxyy"Acanthiza nana"xxyy
xxyy"Acanthiza pusilla"xxyy
xxyy"Acanthiza reguloides"xxyy
xxyy"Acanthiza robustirostris"xxyy
xxyy"Acanthiza uropygialis"xxyy
xxyy"Acanthorhynchus superciliosus"xxyy
xxyy"Acanthorhynchus tenuirostris"xxyy
xxyy"Acanthornis magna"xxyy
xxyy"Accipiter cirrocephalus"xxyy
xxyy"Accipiter fasciatus"xxyy
xxyy"Accipiter novaehollandiae"xxyy
xxyy"Acridotheres tristis"xxyy
xxyy"Acrocephalus australis"xxyy
xxyy"Acrocephalus stentoreus"xxyy
xxyy"Actitis hypoleucos"xxyy
xxyy"Aegotheles cristatus"xxyy
xxyy"Aerodramus terraereginae"xxyy
xxyy"Ailuroedus crassirostris"xxyy
xxyy"Ailuroedus melanotis"xxyy
xxyy"Alauda arvensis"xxyy
xxyy"Alcedo pusilla"xxyy
xxyy"Alectura lathami"xxyy
xxyy"Alisterus scapularis"xxyy
xxyy"Amaurornis cinerea"xxyy
xxyy"Amaurornis moluccana"xxyy
xxyy"Amaurornis olivacea"xxyy
xxyy"Amblyornis newtonianus"xxyy
xxyy"Amytornis ballarae"xxyy
xxyy"Amytornis barbatus"xxyy
xxyy"Amytornis dorotheae"xxyy
xxyy"Amytornis goyderi"xxyy
xxyy"Amytornis housei"xxyy
xxyy"Amytornis merrotsyi"xxyy
xxyy"Amytornis modestus"xxyy
xxyy"Amytornis purnelli"xxyy
xxyy"Amytornis striatus"xxyy
xxyy"Amytornis textilis"xxyy
xxyy"Amytornis woodwardi"xxyy
xxyy"Anas castanea"xxyy
xxyy"Anas gibberifrons"xxyy
xxyy"Anas gracilis"xxyy
xxyy"Anas platyrhynchos"xxyy
xxyy"Anas querquedula"xxyy
xxyy"Anas rhynchotis"xxyy
xxyy"Anas superciliosa"xxyy
xxyy"Anhinga melanogaster"xxyy
xxyy"Anhinga novaehollandiae"xxyy
xxyy"Anous minutus"xxyy
xxyy"Anous stolidus"xxyy
xxyy"Anous tenuirostris"xxyy
xxyy"Anser anser"xxyy
xxyy"Anseranas semipalmata"xxyy
xxyy"Anthochaera carunculata"xxyy
xxyy"Anthochaera chrysoptera"xxyy
xxyy"Anthochaera lunulata"xxyy
xxyy"Anthochaera paradoxa"xxyy
xxyy"Anthochaera phrygia"xxyy
xxyy"Anthus novaeseelandiae"xxyy
xxyy"Aphelocephala leucopsis"xxyy
xxyy"Aphelocephala nigricincta"xxyy
xxyy"Aphelocephala pectoralis"xxyy
xxyy"Aplornis metallica"xxyy
xxyy"Aprosmictus erythropterus"xxyy
xxyy"Aptenodytes patagonicus"xxyy
xxyy"Apus pacificus"xxyy
xxyy"Aquila audax"xxyy
xxyy"Ardea alba"xxyy
xxyy"Ardea cocoi"xxyy
xxyy"Ardea ibis"xxyy
xxyy"Ardea intermedia"xxyy
xxyy"Ardea modesta"xxyy
xxyy"Ardea pacifica"xxyy
xxyy"Ardea sumatrana"xxyy
xxyy"Ardenna bulleri"xxyy
xxyy"Ardenna carneipes"xxyy
xxyy"Ardenna grisea"xxyy
xxyy"Ardenna pacifica"xxyy
xxyy"Ardenna tenuirostris"xxyy
xxyy"Ardeotis australis"xxyy
xxyy"Arenaria interpres"xxyy
xxyy"Arses kaupi"xxyy
xxyy"Arses lorealis"xxyy
xxyy"Arses telescopthalmus"xxyy
xxyy"Artamus cinereus"xxyy
xxyy"Artamus cyanopterus"xxyy
xxyy"Artamus leucorynchus"xxyy
xxyy"Artamus minor"xxyy
xxyy"Artamus personatus"xxyy
xxyy"Artamus superciliosus"xxyy
xxyy"Ashbyia lovensis"xxyy
xxyy"Atrichornis rufescens"xxyy
xxyy"Aviceda subcristata"xxyy
xxyy"Aythya australis"xxyy
xxyy"Barnardius zonarius"xxyy
xxyy"Biziura lobata"xxyy
xxyy"Botaurus poiciloptilus"xxyy
xxyy"Bulweria bulwerii"xxyy
xxyy"Burhinus grallarius"xxyy
xxyy"Butorides striatus"xxyy
xxyy"Cacatua galerita"xxyy
xxyy"Cacatua pastinator"xxyy
xxyy"Cacatua sanguinea"xxyy
xxyy"Cacatua tenuirostris"xxyy
xxyy"Cacomantis castaneiventris"xxyy
xxyy"Cacomantis flabelliformis"xxyy
xxyy"Cacomantis pallidus"xxyy
xxyy"Cacomantis variolosus"xxyy
xxyy"Cairina moschata"xxyy
xxyy"Calamanthus campestris"xxyy
xxyy"Calamanthus fuliginosus"xxyy
xxyy"Calidris acuminata"xxyy
xxyy"Calidris alba"xxyy
xxyy"Calidris canutus"xxyy
xxyy"Calidris ferruginea"xxyy
xxyy"Calidris melanotos"xxyy
xxyy"Calidris minuta"xxyy
xxyy"Calidris ruficollis"xxyy
xxyy"Calidris subminuta"xxyy
xxyy"Calidris tenuirostris"xxyy
xxyy"Callocephalon fimbriatum"xxyy
xxyy"Calonectris leucomelas"xxyy
xxyy"Calyptorhynchus banksii"xxyy
xxyy"Calyptorhynchus baudinii"xxyy
xxyy"Calyptorhynchus funereus"xxyy
xxyy"Calyptorhynchus lathami"xxyy
xxyy"Calyptorhynchus latirostris"xxyy
xxyy"Caprimulgus macrurus"xxyy
xxyy"Carduelis carduelis"xxyy
xxyy"Carduelis chloris"xxyy
xxyy"Carterornis leucotis"xxyy
xxyy"Casuarius casuarius"xxyy
xxyy"Centropus phasianinus"xxyy
xxyy"Cereopsis novaehollandiae"xxyy
xxyy"Certhionyx niger"xxyy
xxyy"Certhionyx pectoralis"xxyy
xxyy"Certhionyx variegatus"xxyy
xxyy"Ceyx azureus"xxyy
xxyy"Ceyx pusilla"xxyy
xxyy"Chalcites basalis"xxyy
xxyy"Chalcites lucidus"xxyy
xxyy"Chalcites minutillus"xxyy
xxyy"Chalcites osculans"xxyy
xxyy"Chalcophaps indica"xxyy
