"spp","1","2","3","4","5","6","7","8"
"Adelotus_brevis","1",NA,"1",NA,NA,NA,NA,NA
"Assa_darlingtoni","1",NA,"1",NA,NA,NA,NA,NA
"Austrochaperina_adelphe",NA,NA,NA,NA,NA,NA,"1",NA
"Austrochaperina_fryi",NA,NA,"1",NA,NA,NA,NA,NA
"Austrochaperina_pluvialis",NA,NA,"1",NA,NA,NA,NA,NA
"Cophixalus_aenigma",NA,NA,"1",NA,NA,NA,NA,NA
"Cophixalus_bombiens",NA,NA,"1",NA,NA,NA,NA,NA
"Cophixalus_concinnus",NA,NA,"1",NA,NA,NA,NA,NA
"Cophixalus_crepitans",NA,NA,"1",NA,NA,NA,NA,NA
"Cophixalus_exiguus",NA,NA,"1",NA,NA,NA,NA,NA
"Cophixalus_hosmeri",NA,NA,"1",NA,NA,NA,NA,NA
"Cophixalus_infacetus",NA,NA,"1",NA,NA,NA,NA,NA
"Cophixalus_mcdonaldi",NA,NA,"1",NA,NA,NA,NA,NA
"Cophixalus_monticola",NA,NA,"1",NA,NA,NA,NA,NA
"Cophixalus_neglectus",NA,NA,"1",NA,NA,NA,NA,NA
"Cophixalus_saxatilis",NA,NA,"1",NA,NA,NA,NA,NA
"Cophixalus_zweifeli",NA,NA,"1",NA,NA,NA,NA,NA
"Crinia_bilingua",NA,NA,NA,NA,"1",NA,"1",NA
"Crinia_deserticola","1",NA,"1","1","1",NA,"1",NA
"Crinia_georgiana",NA,NA,NA,NA,"1",NA,NA,NA
"Crinia_glauerti",NA,NA,NA,NA,"1",NA,NA,NA
"Crinia_insignifera",NA,NA,NA,NA,"1",NA,NA,NA
"Crinia_nimbus",NA,NA,NA,NA,NA,"1",NA,NA
"Crinia_parinsignifera","1","1","1","1",NA,NA,NA,"1"
"Crinia_pseudinsignifera",NA,NA,NA,NA,"1",NA,NA,NA
"Crinia_remota",NA,NA,"1",NA,"1",NA,"1",NA
"Crinia_riparia",NA,NA,NA,"1",NA,NA,NA,NA
"Crinia_signifera","1","1","1","1",NA,"1",NA,"1"
"Crinia_sloanei","1","1",NA,NA,NA,NA,NA,NA
"Crinia_subinsignifera",NA,NA,NA,NA,"1",NA,NA,NA
"Crinia_tasmaniensis",NA,NA,NA,NA,NA,"1",NA,NA
"Crinia_tinnula","1",NA,"1",NA,NA,NA,NA,NA
"Cyclorana_alboguttata","1",NA,"1",NA,NA,NA,NA,NA
"Cyclorana_australis",NA,NA,"1",NA,"1",NA,"1",NA
"Cyclorana_brevipes","1",NA,"1",NA,NA,NA,"1",NA
"Cyclorana_cryptotis",NA,NA,"1",NA,"1",NA,"1",NA
"Cyclorana_cultripes","1",NA,"1","1","1",NA,"1",NA
"Cyclorana_longipes",NA,NA,"1",NA,"1",NA,"1",NA
"Cyclorana_maini",NA,NA,"1","1","1",NA,"1",NA
