"spp","1","2","3","4","5","6","7","8"
"Acanthagenys_rufogularis","1","1","1","1","1",NA,"1",NA
"Acanthiza_apicalis","1","1","1","1","1",NA,"1",NA
"Acanthiza_chrysorrhoa","1","1","1","1","1","1","1","1"
"Acanthiza_ewingii",NA,NA,NA,NA,NA,"1",NA,NA
"Acanthiza_inornata",NA,NA,NA,NA,"1",NA,NA,NA
"Acanthiza_iredalei",NA,"1",NA,"1","1",NA,NA,NA
"Acanthiza_katherina",NA,NA,"1",NA,NA,NA,NA,NA
"Acanthiza_lineata","1","1","1","1",NA,NA,NA,"1"
"Acanthiza_nana","1","1","1","1",NA,NA,NA,"1"
"Acanthiza_pusilla","1","1","1","1",NA,"1",NA,"1"
"Acanthiza_reguloides","1","1","1","1",NA,NA,NA,"1"
"Acanthiza_robustirostris",NA,NA,"1","1","1",NA,"1",NA
"Acanthiza_uropygialis","1","1","1","1","1",NA,"1",NA
"Acanthorhynchus_superciliosus",NA,NA,NA,NA,"1",NA,NA,NA
"Acanthorhynchus_tenuirostris","1","1","1","1",NA,"1",NA,"1"
"Acanthornis_magna",NA,NA,NA,NA,NA,"1",NA,NA
"Accipiter_cirrocephalus","1","1","1","1","1","1","1","1"
"Accipiter_fasciatus","1","1","1","1","1","1","1","1"
"Accipiter_novaehollandiae","1","1","1","1","1","1","1","1"
"Acridotheres_tristis","1","1","1","1","1","1","1","1"
"Acrocephalus_australis","1","1","1","1","1","1","1","1"
"Acrocephalus_stentoreus","1","1","1","1","1","1","1","1"
"Actitis_hypoleucos","1","1","1","1","1","1","1","1"
"Aegotheles_cristatus","1","1","1","1","1","1","1","1"
"Aerodramus_terraereginae","1",NA,"1",NA,NA,NA,NA,NA
"Ailuroedus_crassirostris","1",NA,"1",NA,NA,NA,NA,NA
"Ailuroedus_melanotis",NA,NA,"1",NA,NA,NA,NA,NA
"Alauda_arvensis","1","1",NA,"1",NA,"1",NA,"1"
"Alcedo_pusilla",NA,NA,"1",NA,NA,NA,"1",NA
"Alectura_lathami","1",NA,"1",NA,NA,NA,NA,NA
"Alisterus_scapularis","1","1","1",NA,NA,NA,NA,"1"
"Amaurornis_cinerea",NA,NA,"1",NA,"1",NA,"1",NA
"Amaurornis_moluccana","1",NA,"1",NA,"1",NA,"1",NA
