"spp","1","2","3","4","5","6","7","8"
"Acrobates_pygmaeus","1","1","1","1",NA,NA,NA,"1"
"Aepyprymnus_rufescens","1",NA,"1",NA,NA,NA,NA,NA
"Antechinomys_laniger","1","1","1","1","1",NA,"1",NA
"Antechinus_adustus",NA,NA,"1",NA,NA,NA,NA,NA
"Antechinus_agilis","1","1",NA,"1",NA,NA,NA,"1"
"Antechinus_bellus",NA,NA,NA,NA,NA,NA,"1",NA
"Antechinus_flavipes","1","1","1","1","1",NA,NA,NA
"Antechinus_godmani",NA,NA,"1",NA,NA,NA,NA,NA
"Antechinus_leo",NA,NA,"1",NA,NA,NA,NA,NA
"Antechinus_minimus",NA,"1",NA,"1",NA,"1",NA,NA
"Antechinus_stuartii","1","1","1",NA,NA,NA,NA,"1"
"Antechinus_subtropicus","1",NA,"1",NA,NA,NA,NA,NA
"Antechinus_swainsonii","1","1",NA,NA,NA,"1",NA,"1"
"Bettongia_gaimardi",NA,NA,NA,NA,NA,"1",NA,NA
"Bettongia_lesueur",NA,NA,NA,NA,"1",NA,NA,NA
"Bettongia_penicillata","1",NA,NA,NA,"1",NA,"1",NA
"Bos_javanicus",NA,NA,NA,NA,NA,NA,"1",NA
"Burramys_parvus","1","1",NA,NA,NA,NA,NA,NA
"Canis_lupus","1","1","1","1","1","1","1","1"
"Cercartetus_lepidus",NA,"1",NA,"1",NA,"1",NA,NA
"Cercartetus_nanus","1","1",NA,"1",NA,"1",NA,"1"
"Chaerephon_jobensis",NA,NA,"1",NA,"1",NA,"1",NA
"Chalinolobus_dwyeri","1",NA,NA,NA,NA,NA,NA,NA
"Chalinolobus_gouldii","1","1","1","1","1","1","1","1"
"Chalinolobus_morio","1","1","1","1","1","1","1","1"
"Chalinolobus_nigrogriseus","1",NA,"1",NA,"1",NA,"1",NA
"Chalinolobus_picatus","1","1","1","1",NA,NA,NA,NA
"Conilurus_penicillatus",NA,NA,"1",NA,"1",NA,"1",NA
"Dactylopsila_trivirgata",NA,NA,"1",NA,NA,NA,NA,NA
"Dasycercus_cristicauda",NA,NA,NA,"1","1",NA,"1",NA
"Dasyuroides_byrnei",NA,NA,"1","1",NA,NA,NA,NA
"Dasyurus_geoffroii",NA,NA,NA,NA,"1",NA,NA,NA
"Dasyurus_hallucatus",NA,NA,"1",NA,"1",NA,"1",NA
"Dasyurus_maculatus","1","1","1","1","1","1",NA,"1"
"Dasyurus_viverrinus",NA,NA,NA,NA,NA,"1",NA,NA
"Dendrolagus_lumholtzi",NA,NA,"1",NA,NA,NA,NA,NA
"Eptesicus_regulus",NA,NA,NA,NA,"1","1",NA,NA
"Eptesicus_vulturnus","1",NA,"1",NA,NA,"1",NA,NA
"Falsistrellus_tasmaniensis","1","1",NA,"1",NA,"1",NA,NA
"Gymnobelideus_leadbeateri",NA,"1",NA,NA,NA,NA,NA,NA
"Hemibelideus_lemuroides",NA,NA,"1",NA,NA,NA,NA,NA
"Hipposideros_ater",NA,NA,"1",NA,"1",NA,"1",NA
"Hipposideros_cervinus",NA,NA,"1",NA,NA,NA,NA,NA
"Hipposideros_diadema",NA,NA,"1",NA,NA,NA,NA,NA
"Hipposideros_semoni",NA,NA,"1",NA,NA,NA,NA,NA
"Hipposideros_stenotis",NA,NA,"1",NA,"1",NA,"1",NA
"Hydromys_chrysogaster","1","1","1","1","1","1","1","1"
"Hypsiprymnodon_moschatus",NA,NA,"1",NA,NA,"1",NA,NA
"Isoodon_macrourus","1",NA,"1",NA,"1",NA,"1",NA
"Isoodon_obesulus","1","1","1","1","1","1",NA,NA
"Kerivoula_papuensis","1",NA,"1",NA,NA,NA,NA,NA
"Lagorchestes_conspicillatus",NA,NA,"1",NA,"1",NA,"1",NA
"Lagorchestes_hirsutus",NA,NA,NA,NA,"1",NA,NA,NA
"Lasiorhinus_latifrons","1",NA,NA,"1","1",NA,NA,NA
"Leggadina_forresti","1",NA,"1","1","1",NA,"1",NA
"Leggadina_lakedownensis",NA,NA,"1",NA,"1",NA,"1",NA
"Macroderma_gigas",NA,NA,"1",NA,"1",NA,"1",NA
"Macroglossus_minimus",NA,NA,"1",NA,"1",NA,"1",NA
"Macropus_agilis",NA,NA,"1",NA,"1",NA,"1",NA
"Macropus_antilopinus",NA,NA,"1",NA,"1",NA,"1",NA
"Macropus_bernardus",NA,NA,NA,NA,NA,NA,"1",NA
"Macropus_dorsalis","1",NA,"1",NA,NA,NA,NA,NA
"Macropus_eugenii",NA,NA,NA,"1","1",NA,NA,NA
