"spp","1","2","3","4","5","6","7","8"
"Acanthophis_antarcticus","1","1","1","1","1",NA,NA,NA
"Acanthophis_pyrrhus",NA,NA,NA,"1","1",NA,"1",NA
"Acritoscincus_duperreyi","1","1",NA,"1",NA,"1",NA,"1"
"Acritoscincus_platynota","1","1",NA,NA,NA,NA,NA,"1"
"Acritoscincus_trilineata",NA,NA,NA,NA,"1",NA,NA,NA
"Acrochordus_arafurae",NA,NA,"1",NA,NA,NA,"1",NA
"Amphibolurus_muricatus","1","1","1","1","1",NA,NA,"1"
"Amphibolurus_nobbi","1","1","1","1",NA,NA,NA,"1"
"Amphibolurus_norrisi",NA,"1",NA,"1","1",NA,NA,NA
"Anepischetosia_maccoyi","1","1",NA,NA,NA,NA,NA,NA
"Anomalopus_brevicollis",NA,NA,"1",NA,NA,NA,NA,NA
"Anomalopus_gowi",NA,NA,"1",NA,NA,NA,NA,NA
"Anomalopus_leuckartii","1",NA,"1",NA,NA,NA,NA,NA
"Anomalopus_mackayi","1",NA,"1",NA,NA,NA,NA,NA
"Anomalopus_swansoni","1",NA,NA,NA,NA,NA,NA,NA
"Anomalopus_verreauxii","1",NA,"1",NA,NA,NA,NA,NA
"Antaresia_maculosa","1",NA,"1",NA,NA,NA,NA,NA
"Antaresia_perthensis",NA,NA,NA,NA,"1",NA,NA,NA
"Antaresia_stimsoni","1",NA,"1","1","1",NA,"1",NA
"Antechinus_leo",NA,NA,"1",NA,NA,NA,NA,NA
"Aprasia_aurita",NA,"1",NA,"1",NA,NA,NA,NA
"Aprasia_inaurita","1","1",NA,"1","1",NA,NA,NA
"Aprasia_parapulchella","1","1",NA,NA,NA,NA,NA,"1"
"Aprasia_pseudopulchella","1",NA,NA,NA,NA,NA,NA,NA
"Aprasia_striolata",NA,"1",NA,"1","1",NA,NA,NA
"Aspidites_melanocephalus",NA,NA,"1",NA,"1",NA,"1",NA
"Aspidites_ramsayi","1",NA,"1","1","1",NA,"1",NA
"Austrelaps_labialis",NA,NA,NA,"1",NA,NA,NA,NA
"Austrelaps_ramsayi","1","1",NA,NA,NA,NA,NA,NA
"Austrelaps_superbus",NA,"1",NA,"1",NA,"1",NA,NA
"Bellatorias_frerei","1",NA,"1",NA,NA,NA,NA,NA
"Bellatorias_major","1",NA,"1",NA,NA,NA,NA,NA
"Bellatorias_obiri",NA,NA,NA,NA,NA,NA,"1",NA
"Boiga_irregularis","1",NA,"1",NA,"1",NA,"1",NA
"Brachyurophis_australis","1",NA,"1","1",NA,NA,NA,NA
"Brachyurophis_fasciolatus",NA,NA,"1","1","1",NA,"1",NA
"Brachyurophis_incinctus",NA,NA,"1",NA,NA,NA,"1",NA
"Brachyurophis_morrisi",NA,NA,NA,NA,NA,NA,"1",NA
"Brachyurophis_roperi",NA,NA,NA,NA,"1",NA,"1",NA
"Brachyurophis_semifasciatus",NA,NA,"1","1","1",NA,"1",NA
"Cacophis_harriettae","1",NA,"1",NA,NA,NA,NA,NA
"Cacophis_krefftii","1",NA,"1",NA,NA,NA,NA,NA
"Cacophis_squamulosus","1",NA,"1",NA,NA,NA,NA,NA
"Calyptotis_lepidorostrum",NA,NA,"1",NA,NA,NA,NA,NA
"Calyptotis_ruficauda","1",NA,NA,NA,NA,NA,NA,NA
"Calyptotis_scutirostrum","1",NA,"1",NA,NA,NA,NA,NA
"Calyptotis_temporalis",NA,NA,"1",NA,NA,NA,NA,NA
"Carlia_amax",NA,NA,"1",NA,"1",NA,"1",NA
"Carlia_gracilis",NA,NA,NA,NA,"1",NA,"1",NA
"Carlia_jarnoldae",NA,NA,"1",NA,NA,NA,NA,NA
"Carlia_johnstonei",NA,NA,NA,NA,"1",NA,NA,NA
"Carlia_munda",NA,NA,"1",NA,"1",NA,"1",NA
"Carlia_mundivensis",NA,NA,"1",NA,NA,NA,NA,NA
"Carlia_pectoralis","1",NA,"1",NA,NA,NA,NA,NA
"Carlia_rimula",NA,NA,"1",NA,NA,NA,NA,NA
"Carlia_rostralis",NA,NA,"1",NA,NA,NA,NA,NA
"Carlia_rubrigularis",NA,NA,"1",NA,NA,NA,NA,NA
"Carlia_rufilatus",NA,NA,NA,NA,"1",NA,"1",NA
"Carlia_schmeltzii",NA,NA,"1",NA,NA,NA,NA,NA
"Carlia_sexdentata",NA,NA,"1",NA,NA,NA,"1",NA
"Carlia_storri",NA,NA,"1",NA,NA,NA,NA,NA
